year,variable,raw_unique_values,raw_non_missing_n,raw_missing_n,cleaned_unique_values,cleaned_non_missing_n,cleaned_missing_n,inferred_type,notes
2019,it_org_any_raw,1|2,13456,0,0|1,13456,0,binary_yes_no,binary standardization
2019,it_org_internal_raw,0|1,3733,9723,1,1221,12235,binary_yes_no,binary standardization
2019,it_org_mixed_raw,0|1,3733,9723,1,1617,11839,binary_yes_no,binary standardization
2019,it_org_outsource_raw,0|1,3733,9723,1,1530,11926,binary_yes_no,binary standardization
2019,ai_use_raw,1|2|3,13456,0,0|1,13456,0,binary_yes_no,binary standardization
2019,it_invest_share_raw,2|3|4,12752,704,2.0|3.0|4.0,12752,704,continuous_numeric,numeric conversion only
2019,proc_efficiency_raw,1|2|3|4|5,13456,0,1|2|3|4|5,13456,0,ordinal_likert_or_ordered_category,"2019 proc_improve input, raw scale preserved"
2019,proc_cost_raw,1|2|3|4|5,13456,0,1|2|3|4|5,13456,0,ordinal_likert_or_ordered_category,"2019 proc_improve input, raw scale preserved"
2019,weight_raw,0.797677024|0.813044892|0.842686487|1.030383258|1.061278744|1.083310353|1.084945774|1.130035961|1.139450995|1.144859836|1.145772225|1.16310542|1.164861304|1.168626546|1.170390765|1.174740959|1.177563369|1.182683035|1.184468475|1.185022675|...(+2084),13456,0,0.797677024|0.813044892|0.842686487|1.030383258|1.061278744|1.083310353|1.084945774|1.130035961|1.139450995|1.144859836|1.145772225|1.16310542|1.164861304|1.168626546|1.170390765|1.174740959|1.177563369|1.182683035|1.184468475|1.185022675|...(+2084),13456,0,continuous_numeric,raw preserved
2019,industry_raw,1|10|11|12|13|2|3|4|5|6|7|8|9,13456,0,1|10|11|12|13|2|3|4|5|6|7|8|9,13456,0,nominal_categorical,raw preserved
2019,industry_size_raw,101|102|103|104|105|11|111|112|113|114|115|12|121|122|123|124|125|13|131|132|...(+45),13456,0,101|102|103|104|105|11|111|112|113|114|115|12|121|122|123|124|125|13|131|132|...(+45),13456,0,nominal_categorical,raw preserved
2019,firm_size_raw,1|2|3|4|5,13456,0,1|2|3|4|5,13456,0,ordinal_likert_or_ordered_category,raw preserved
2019,it_org_any_raw,1|2,13456,0,1|2,13456,0,binary_yes_no,raw preserved
2019,it_org_internal_raw,0|1,3733,9723,0|1,3733,9723,binary_yes_no,raw preserved
2019,it_org_mixed_raw,0|1,3733,9723,0|1,3733,9723,binary_yes_no,raw preserved
2019,it_org_outsource_raw,0|1,3733,9723,0|1,3733,9723,binary_yes_no,raw preserved
2019,it_invest_share_raw,2|3|4,12752,704,2|3|4,12752,704,continuous_numeric,raw preserved
2019,ai_use_raw,1|2|3,13456,0,1|2|3,13456,0,binary_yes_no,raw preserved
2019,proc_efficiency_raw,1|2|3|4|5,13456,0,1|2|3|4|5,13456,0,ordinal_likert_or_ordered_category,raw preserved
2019,proc_cost_raw,1|2|3|4|5,13456,0,1|2|3|4|5,13456,0,ordinal_likert_or_ordered_category,raw preserved
2020,it_org_any_raw,1|2,12099,0,0|1,12099,0,binary_yes_no,binary standardization
2020,it_org_internal_raw,0|1,6195,5904,1,1582,10517,binary_yes_no,binary standardization
2020,it_org_mixed_raw,0|1,6195,5904,1,2058,10041,binary_yes_no,binary standardization
2020,it_org_outsource_raw,0|1,6195,5904,1,3063,9036,binary_yes_no,binary standardization
2020,ai_use_raw,1|2|3,12099,0,0|1,12099,0,binary_yes_no,binary standardization
2020,it_invest_share_raw,1|2|3|4,12071,28,1.0|2.0|3.0|4.0,12071,28,continuous_numeric,numeric conversion only
2020,proc_improve_raw,1|2|3|4|5,12099,0,1|2|3|4|5,12099,0,ordinal_likert_or_ordered_category,raw Likert scale preserved in proc_improve
2020,innov_outcome_raw,1|2|3|4|5,12099,0,1|2|3|4|5,12099,0,ordinal_likert_or_ordered_category,raw Likert scale preserved in innov_outcome
2020,decision_improve_raw,1|2|3|4|5,12099,0,1|2|3|4|5,12099,0,ordinal_likert_or_ordered_category,raw Likert scale preserved in decision_improve
2020,weight_raw,0.897368844|0.904833328|0.953220397|0.971239846|0.971858267|0.978443602|0.999862234|1.003341622|1.007477334|1.010579287|1.010783479|1.015857721|1.018717847|1.018985477|1.027058326|1.030682493|1.035601591|1.040776845|1.047210577|1.049434223|...(+916),12099,0,0.897368844|0.904833328|0.953220397|0.971239846|0.971858267|0.978443602|0.999862234|1.003341622|1.007477334|1.010579287|1.010783479|1.015857721|1.018717847|1.018985477|1.027058326|1.030682493|1.035601591|1.040776845|1.047210577|1.049434223|...(+916),12099,0,continuous_numeric,raw preserved
2020,industry_raw,1|10|11|12|13|14|15|16|2|3|4|5|6|7|8|9|99,12099,0,1|10|11|12|13|14|15|16|2|3|4|5|6|7|8|9|99,12099,0,nominal_categorical,raw preserved
2020,industry_size_raw,101|102|103|11|111|112|113|12|121|122|123|13|131|132|133|141|142|143|151|152|...(+28),12099,0,101|102|103|11|111|112|113|12|121|122|123|13|131|132|133|141|142|143|151|152|...(+28),12099,0,nominal_categorical,raw preserved
2020,it_org_any_raw,1|2,12099,0,1|2,12099,0,binary_yes_no,raw preserved
2020,it_org_internal_raw,0|1,6195,5904,0|1,6195,5904,binary_yes_no,raw preserved
2020,it_org_mixed_raw,0|1,6195,5904,0|1,6195,5904,binary_yes_no,raw preserved
2020,it_org_outsource_raw,0|1,6195,5904,0|1,6195,5904,binary_yes_no,raw preserved
2020,it_invest_share_raw,1|2|3|4,12071,28,1|2|3|4,12071,28,continuous_numeric,raw preserved
2020,ai_use_raw,1|2|3,12099,0,1|2|3,12099,0,binary_yes_no,raw preserved
2020,proc_improve_raw,1|2|3|4|5,12099,0,1|2|3|4|5,12099,0,ordinal_likert_or_ordered_category,raw preserved
2020,decision_improve_raw,1|2|3|4|5,12099,0,1|2|3|4|5,12099,0,ordinal_likert_or_ordered_category,raw preserved
2020,innov_outcome_raw,1|2|3|4|5,12099,0,1|2|3|4|5,12099,0,ordinal_likert_or_ordered_category,raw preserved
2021,it_org_any_raw,1|2,11951,0,0|1,11951,0,binary_yes_no,binary standardization
2021,it_org_internal_raw,0|1,6067,5884,1,1871,10080,binary_yes_no,binary standardization
2021,it_org_mixed_raw,0|1,6067,5884,1,3055,8896,binary_yes_no,binary standardization
2021,it_org_outsource_raw,0|1,6067,5884,1,2011,9940,binary_yes_no,binary standardization
2021,ai_use_raw,1|2|3,11951,0,0|1,11951,0,binary_yes_no,binary standardization
2021,it_invest_share_raw,1|10|100|11|13|15|16|18|2|20|25|3|30|4|5|50|6|7|8|9,11950,1,1.0|10.0|100.0|11.0|13.0|15.0|16.0|18.0|2.0|20.0|25.0|3.0|30.0|4.0|5.0|50.0|6.0|7.0|8.0|9.0,11950,1,continuous_numeric,numeric conversion only
2021,proc_improve_raw,1|2|3|4|5,11951,0,1|2|3|4|5,11951,0,ordinal_likert_or_ordered_category,raw Likert scale preserved in proc_improve
2021,innov_outcome_raw,1|2|3|4|5,11951,0,1|2|3|4|5,11951,0,ordinal_likert_or_ordered_category,raw Likert scale preserved in innov_outcome
2021,decision_improve_raw,1|2|3|4|5,11951,0,1|2|3|4|5,11951,0,ordinal_likert_or_ordered_category,raw Likert scale preserved in decision_improve
2021,weight_raw,.907158431755762|.931556083031949|.951154058557865|.95847633921453|.962845030595192|.972831794519143|.977546563149754|.984567387845128|.987842509904452|.990493724217157|1.0000000056351|1.00000000563712|1.00000000566147|1.00393468678681|1.00867031351107|1.01027665540496|1.02305833902775|1.02419362123777|1.03020899654945|1.03179174169036|...(+912),11951,0,.907158431755762|.931556083031949|.951154058557865|.95847633921453|.962845030595192|.972831794519143|.977546563149754|.984567387845128|.987842509904452|.990493724217157|1.0000000056351|1.00000000563712|1.00000000566147|1.00393468678681|1.00867031351107|1.01027665540496|1.02305833902775|1.02419362123777|1.03020899654945|1.03179174169036|...(+912),11951,0,continuous_numeric,raw preserved
2021,industry_raw,1|10|11|12|13|14|15|16|2|3|4|5|6|7|8|9,11951,0,1|10|11|12|13|14|15|16|2|3|4|5|6|7|8|9,11951,0,nominal_categorical,raw preserved
2021,industry_size_raw,101|102|103|11|111|112|113|12|121|122|123|13|131|132|133|141|142|143|151|152|...(+28),11951,0,101|102|103|11|111|112|113|12|121|122|123|13|131|132|133|141|142|143|151|152|...(+28),11951,0,nominal_categorical,raw preserved
2021,firm_size_raw,1|2|3,11951,0,1|2|3,11951,0,ordinal_likert_or_ordered_category,raw preserved
2021,it_org_any_raw,1|2,11951,0,1|2,11951,0,binary_yes_no,raw preserved
2021,it_org_internal_raw,0|1,6067,5884,0|1,6067,5884,binary_yes_no,raw preserved
2021,it_org_mixed_raw,0|1,6067,5884,0|1,6067,5884,binary_yes_no,raw preserved
2021,it_org_outsource_raw,0|1,6067,5884,0|1,6067,5884,binary_yes_no,raw preserved
2021,it_invest_share_raw,1|10|100|11|13|15|16|18|2|20|25|3|30|4|5|50|6|7|8|9,11950,1,1|10|100|11|13|15|16|18|2|20|25|3|30|4|5|50|6|7|8|9,11950,1,continuous_numeric,raw preserved
2021,it_invest_share_cat_raw,1|2|3|4,11950,1,1|2|3|4,11950,1,ordinal_likert_or_ordered_category,raw preserved
2021,ai_use_raw,1|2|3,11951,0,1|2|3,11951,0,binary_yes_no,raw preserved
2021,proc_improve_raw,1|2|3|4|5,11951,0,1|2|3|4|5,11951,0,ordinal_likert_or_ordered_category,raw preserved
2021,decision_improve_raw,1|2|3|4|5,11951,0,1|2|3|4|5,11951,0,ordinal_likert_or_ordered_category,raw preserved
2021,innov_outcome_raw,1|2|3|4|5,11951,0,1|2|3|4|5,11951,0,ordinal_likert_or_ordered_category,raw preserved
2022,it_org_any_raw,1|2,12142,0,0|1,12142,0,binary_yes_no,binary standardization
2022,it_org_internal_raw,0|1,6475,5667,1,2047,10095,binary_yes_no,binary standardization
2022,it_org_mixed_raw,0|1,6475,5667,1,2974,9168,binary_yes_no,binary standardization
2022,it_org_outsource_raw,0|1,6475,5667,1,2009,10133,binary_yes_no,binary standardization
2022,ai_use_raw,1|2|3,12142,0,0|1,12142,0,binary_yes_no,binary standardization
2022,it_invest_share_raw,1|10|100|11|12|13|15|16|18|2|20|25|3|30|4|5|50|6|61|7|...(+2),12142,0,1|10|100|11|12|13|15|16|18|2|20|25|3|30|4|5|50|6|61|7|...(+2),12142,0,continuous_numeric,numeric conversion only
2022,proc_improve_raw,1|2|3|4|5,12142,0,1|2|3|4|5,12142,0,ordinal_likert_or_ordered_category,raw Likert scale preserved in proc_improve
2022,innov_outcome_raw,1|2|3|4|5,12142,0,1|2|3|4|5,12142,0,ordinal_likert_or_ordered_category,raw Likert scale preserved in innov_outcome
2022,decision_improve_raw,1|2|3|4|5,12142,0,1|2|3|4|5,12142,0,ordinal_likert_or_ordered_category,raw Likert scale preserved in decision_improve
2022,weight_raw,0.973331128|0.977343262|0.983397761|0.986220231|0.990089576|0.994311014|0.996153195|1|1.009144824|1.011377971|1.013251772|1.013779769|1.034547934|1.039559949|1.042516134|1.044281961|1.049916202|1.060322927|1.066460227|1.07296244|...(+927),12142,0,0.973331128|0.977343262|0.983397761|0.986220231|0.990089576|0.994311014|0.996153195|1|1.009144824|1.011377971|1.013251772|1.013779769|1.034547934|1.039559949|1.042516134|1.044281961|1.049916202|1.060322927|1.066460227|1.07296244|...(+927),12142,0,continuous_numeric,raw preserved
2022,industry_raw,1|10|11|12|13|14|15|16|2|3|4|5|6|7|8|9,12142,0,1|10|11|12|13|14|15|16|2|3|4|5|6|7|8|9,12142,0,nominal_categorical,raw preserved
2022,industry_size_raw,101|102|103|11|111|112|113|12|121|122|123|13|131|132|133|141|142|143|151|152|...(+28),12142,0,101|102|103|11|111|112|113|12|121|122|123|13|131|132|133|141|142|143|151|152|...(+28),12142,0,nominal_categorical,raw preserved
2022,firm_size_raw,1|2|3,12142,0,1|2|3,12142,0,ordinal_likert_or_ordered_category,raw preserved
2022,it_org_any_raw,1|2,12142,0,1|2,12142,0,binary_yes_no,raw preserved
2022,it_org_internal_raw,0|1,6475,5667,0|1,6475,5667,binary_yes_no,raw preserved
2022,it_org_mixed_raw,0|1,6475,5667,0|1,6475,5667,binary_yes_no,raw preserved
2022,it_org_outsource_raw,0|1,6475,5667,0|1,6475,5667,binary_yes_no,raw preserved
2022,it_invest_share_raw,1|10|100|11|12|13|15|16|18|2|20|25|3|30|4|5|50|6|61|7|...(+2),12142,0,1|10|100|11|12|13|15|16|18|2|20|25|3|30|4|5|50|6|61|7|...(+2),12142,0,continuous_numeric,raw preserved
2022,it_invest_share_cat_raw,1|2|3|4,12142,0,1|2|3|4,12142,0,ordinal_likert_or_ordered_category,raw preserved
2022,ai_use_raw,1|2|3,12142,0,1|2|3,12142,0,binary_yes_no,raw preserved
2022,proc_improve_raw,1|2|3|4|5,12142,0,1|2|3|4|5,12142,0,ordinal_likert_or_ordered_category,raw preserved
2022,decision_improve_raw,1|2|3|4|5,12142,0,1|2|3|4|5,12142,0,ordinal_likert_or_ordered_category,raw preserved
2022,innov_outcome_raw,1|2|3|4|5,12142,0,1|2|3|4|5,12142,0,ordinal_likert_or_ordered_category,raw preserved
2023,it_org_any_raw,1|2,12247,0,0|1,12247,0,binary_yes_no,binary standardization
2023,it_org_internal_raw,0|1,6466,5781,1,2241,10006,binary_yes_no,binary standardization
2023,it_org_mixed_raw,0|1,6466,5781,1,3532,8715,binary_yes_no,binary standardization
2023,it_org_outsource_raw,0|1,6466,5781,1,2164,10083,binary_yes_no,binary standardization
2023,ai_use_raw,1|2,12247,0,0|1,12247,0,binary_yes_no,binary standardization
2023,it_invest_share_raw,1|10|11|12|13|14|15|16|17|18|2|20|25|26|3|30|35|4|40|45|...(+10),12247,0,1|10|11|12|13|14|15|16|17|18|2|20|25|26|3|30|35|4|40|45|...(+10),12247,0,continuous_numeric,numeric conversion only
2023,proc_improve_raw,1|2|3|4|5,12247,0,1|2|3|4|5,12247,0,ordinal_likert_or_ordered_category,raw Likert scale preserved in proc_improve
2023,innov_outcome_raw,1|2|3|4|5,12247,0,1|2|3|4|5,12247,0,ordinal_likert_or_ordered_category,raw Likert scale preserved in innov_outcome
2023,decision_improve_raw,1|2|3|4|5,12247,0,1|2|3|4|5,12247,0,ordinal_likert_or_ordered_category,raw Likert scale preserved in decision_improve
2023,weight_raw,.9380597062487|.9545390476273|.9624148364875|.9660915771133|.9670331953306|.973092480476|.9740626845289|.9762015590069|.9784516701651|.99028914221|.9946132473078|.9946221129164|.9948620126347|1.0028286224107|1.0133201406921|1.0213730490357|1.0235153757207|1.0299289344505|1.0309327728755|1.0428383587542|...(+939),12247,0,.9380597062487|.9545390476273|.9624148364875|.9660915771133|.9670331953306|.973092480476|.9740626845289|.9762015590069|.9784516701651|.99028914221|.9946132473078|.9946221129164|.9948620126347|1.0028286224107|1.0133201406921|1.0213730490357|1.0235153757207|1.0299289344505|1.0309327728755|1.0428383587542|...(+939),12247,0,continuous_numeric,raw preserved
2023,industry_raw,1|10|11|12|13|14|15|16|2|3|4|5|6|7|8|9,12247,0,1|10|11|12|13|14|15|16|2|3|4|5|6|7|8|9,12247,0,nominal_categorical,raw preserved
2023,industry_size_raw,101|102|103|104|11|111|112|113|114|12|121|122|123|124|13|131|132|133|134|141|...(+43),12247,0,101|102|103|104|11|111|112|113|114|12|121|122|123|124|13|131|132|133|134|141|...(+43),12247,0,nominal_categorical,raw preserved
2023,firm_size_raw,1|2|3|4,12247,0,1|2|3|4,12247,0,ordinal_likert_or_ordered_category,raw preserved
2023,it_org_any_raw,1|2,12247,0,1|2,12247,0,binary_yes_no,raw preserved
2023,it_org_internal_raw,0|1,6466,5781,0|1,6466,5781,binary_yes_no,raw preserved
2023,it_org_mixed_raw,0|1,6466,5781,0|1,6466,5781,binary_yes_no,raw preserved
2023,it_org_outsource_raw,0|1,6466,5781,0|1,6466,5781,binary_yes_no,raw preserved
2023,it_invest_share_raw,1|10|11|12|13|14|15|16|17|18|2|20|25|26|3|30|35|4|40|45|...(+10),12247,0,1|10|11|12|13|14|15|16|17|18|2|20|25|26|3|30|35|4|40|45|...(+10),12247,0,continuous_numeric,raw preserved
2023,it_invest_share_cat_raw,1|2|3|4,12247,0,1|2|3|4,12247,0,ordinal_likert_or_ordered_category,raw preserved
2023,ai_use_raw,1|2,12247,0,1|2,12247,0,binary_yes_no,raw preserved
2023,proc_improve_raw,1|2|3|4|5,12247,0,1|2|3|4|5,12247,0,ordinal_likert_or_ordered_category,raw preserved
2023,decision_improve_raw,1|2|3|4|5,12247,0,1|2|3|4|5,12247,0,ordinal_likert_or_ordered_category,raw preserved
2023,innov_outcome_raw,1|2|3|4|5,12247,0,1|2|3|4|5,12247,0,ordinal_likert_or_ordered_category,raw preserved
2024,it_org_any_raw,1|2,12203,0,0|1,12203,0,binary_yes_no,binary standardization
2024,it_org_internal_raw,0|1,6350,5853,1,2120,10083,binary_yes_no,binary standardization
2024,it_org_mixed_raw,0|1,6350,5853,1,3854,8349,binary_yes_no,binary standardization
2024,it_org_outsource_raw,0|1,6350,5853,1,1372,10831,binary_yes_no,binary standardization
2024,ai_use_raw,1|2,12203,0,0|1,12203,0,binary_yes_no,binary standardization
2024,it_invest_share_raw,1|10|100|12|13|15|17|2|20|21|23|25|3|30|35|36|4|40|45|49|...(+20),12203,0,1|10|100|12|13|15|17|2|20|21|23|25|3|30|35|36|4|40|45|49|...(+20),12203,0,continuous_numeric,numeric conversion only
2024,proc_improve_raw,1|2|3|4|5,12203,0,1|2|3|4|5,12203,0,ordinal_likert_or_ordered_category,raw Likert scale preserved in proc_improve
2024,innov_outcome_raw,1|2|3|4|5,12203,0,1|2|3|4|5,12203,0,ordinal_likert_or_ordered_category,raw Likert scale preserved in innov_outcome
2024,decision_improve_raw,1|2|3|4|5,12203,0,1|2|3|4|5,12203,0,ordinal_likert_or_ordered_category,raw Likert scale preserved in decision_improve
2024,weight_raw,.995550292824027|.997538943372789|1.00347942008023|1.00384383429386|1.01337009578789|1.03687735938699|1.06213939044596|1.06382307623477|1.06573798592779|1.06878732243119|1.07200042965616|1.07497956664646|1.07668360647015|1.07725653024161|1.07838433438996|1.07858107068617|1.07896417947032|1.07940839218718|1.08007651558893|1.08111945251184|...(+962),12203,0,.995550292824027|.997538943372789|1.00347942008023|1.00384383429386|1.01337009578789|1.03687735938699|1.06213939044596|1.06382307623477|1.06573798592779|1.06878732243119|1.07200042965616|1.07497956664646|1.07668360647015|1.07725653024161|1.07838433438996|1.07858107068617|1.07896417947032|1.07940839218718|1.08007651558893|1.08111945251184|...(+962),12203,0,continuous_numeric,raw preserved
2024,industry_raw,1|10|11|12|13|14|15|16|2|3|4|5|6|7|8|9,12203,0,1|10|11|12|13|14|15|16|2|3|4|5|6|7|8|9,12203,0,nominal_categorical,raw preserved
2024,industry_size_raw,101|102|103|104|11|111|112|113|114|12|121|122|123|124|13|131|132|133|134|141|...(+42),12203,0,101|102|103|104|11|111|112|113|114|12|121|122|123|124|13|131|132|133|134|141|...(+42),12203,0,nominal_categorical,raw preserved
2024,firm_size_raw,1|2|3|4,12203,0,1|2|3|4,12203,0,ordinal_likert_or_ordered_category,raw preserved
2024,it_org_any_raw,1|2,12203,0,1|2,12203,0,binary_yes_no,raw preserved
2024,it_org_internal_raw,0|1,6350,5853,0|1,6350,5853,binary_yes_no,raw preserved
2024,it_org_mixed_raw,0|1,6350,5853,0|1,6350,5853,binary_yes_no,raw preserved
2024,it_org_outsource_raw,0|1,6350,5853,0|1,6350,5853,binary_yes_no,raw preserved
2024,it_invest_share_raw,1|10|100|12|13|15|17|2|20|21|23|25|3|30|35|36|4|40|45|49|...(+20),12203,0,1|10|100|12|13|15|17|2|20|21|23|25|3|30|35|36|4|40|45|49|...(+20),12203,0,continuous_numeric,raw preserved
2024,ai_use_raw,1|2,12203,0,1|2,12203,0,binary_yes_no,raw preserved
2024,proc_improve_raw,1|2|3|4|5,12203,0,1|2|3|4|5,12203,0,ordinal_likert_or_ordered_category,raw preserved
2024,decision_improve_raw,1|2|3|4|5,12203,0,1|2|3|4|5,12203,0,ordinal_likert_or_ordered_category,raw preserved
2024,innov_outcome_raw,1|2|3|4|5,12203,0,1|2|3|4|5,12203,0,ordinal_likert_or_ordered_category,raw preserved
